product_name,revenue,percentage
Trek Slash 8 27.5 - 2016,555558.6111,7.23
Trek Conduit+ - 2016,389248.7025,5.06
Trek Fuel EX 8 29 - 2016,368472.7294,4.79
Surly Straggler 650b - 2016,226765.5510,2.95
Trek Domane SLR 6 Disc - 2017,211584.6153,2.75
Surly Straggler - 2016,203507.6200,2.65
Trek Remedy 29 Carbon Frameset - 2016,203380.8701,2.65
Trek Powerfly 8 FS Plus - 2017,188249.6235,2.45
Trek Madone 9.2 - 2017,175899.6482,2.29
Trek Silque SLR 8 Women's - 2017,174524.7315,2.27
Trek Silque SLR 7 Women's - 2017,163079.7282,2.12
Trek Fuel EX 9.8 27.5 Plus - 2017,159052.6999,2.07
Heller Shagamaw Frame - 2016,151160.8857,1.97
Trek Fuel EX 9.8 29 - 2017,147449.7051,1.92
Trek Boone 7 - 2017,127609.6354,1.66
Trek Domane SL 6 - 2017,113644.6753,1.48
Surly Wednesday Frameset - 2016,112288.8771,1.46
Trek Remedy 9.8 - 2017,105469.8010,1.37
Trek Domane S 6 - 2017,93527.6536,1.22
Trek Boone Race Shop Limited - 2017,91244.7393,1.19
Surly Karate Monkey 27.5+ Frameset - 2017,87474.6501,1.14
Electra Townie Original 7D EQ - 2016,82744.6209,1.08
Ritchey Timberwolf Frameset - 2016,78898.9480,1.03
Electra Townie Original 21D - 2016,75772.1223,0.99
Electra Townie Original 7D EQ - 2016,72424.7929,0.94
Surly Ice Cream Truck Frameset - 2016,70371.6027,0.92
Trek Domane SL Disc Frameset - 2017,68511.7859,0.89
Trek Fuel EX 5 27.5 Plus - 2017,67849.7050,0.88
Electra Townie Original 21D - 2016,67621.2705,0.88
Electra Townie Original 7D - 2015/2016,66568.6686,0.87
Electra Townie Original 7D EQ - Women's - 2016,66508.8915,0.86
Electra Moto 1 - 2016,65061.5724,0.85
Trek Domane S 5 Disc - 2017,59513.7711,0.77
Trek Emonda S 4 - 2017,57359.6176,0.75
Trek Domane SLR 9 Disc - 2018,54359.9547,0.71
Pure Cycles Western 3-Speed - Women's - 2015/2016,54270.6300,0.71
Pure Cycles Vine 8-Speed - 2016,51531.4800,0.67
Sun Bicycles ElectroLite - 2017,47049.2984,0.61
Haro Shift R3 - 2017,46980.8804,0.61
Pure Cycles William 3-Speed - 2016,43674.2300,0.57
Trek Emonda S 5 - 2017,41079.7946,0.53
Electra Girl's Hawaii 1 (20-inch) - 2015/2016,41011.6329,0.53
Electra Amsterdam Fashion 7i Ladies' - 2017,39863.6376,0.52
Haro SR 1.2 - 2017,39862.9418,0.52
