product_id,product_name,total_q_in_all_stores
1,Trek 820 - 2016,55
2,Ritchey Timberwolf Frameset - 2016,45
3,Surly Wednesday Frameset - 2016,34
4,Trek Fuel EX 8 29 - 2016,36
5,Heller Shagamaw Frame - 2016,26
6,Surly Ice Cream Truck Frameset - 2016,38
7,Trek Slash 8 27.5 - 2016,28
8,Trek Remedy 29 Carbon Frameset - 2016,13
9,Trek Conduit+ - 2016,51
10,Surly Straggler - 2016,49
11,Surly Straggler 650b - 2016,59
12,Electra Townie Original 21D - 2016,48
13,Electra Cruiser 1 (24-Inch) - 2016,33
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,30
15,Electra Moto 1 - 2016,31
16,Electra Townie Original 7D EQ - 2016,43
17,Pure Cycles Vine 8-Speed - 2016,27
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,34
19,Pure Cycles William 3-Speed - 2016,43
20,Electra Townie Original 7D EQ - Women's - 2016,65
21,Electra Cruiser 1 (24-Inch) - 2016,48
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,49
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,29
24,Electra Townie Original 21D - 2016,44
25,Electra Townie Original 7D - 2015/2016,43
26,Electra Townie Original 7D EQ - 2016,45
27,Surly Big Dummy Frameset - 2017,52
28,Surly Karate Monkey 27.5+ Frameset - 2017,65
29,Trek X-Caliber 8 - 2017,53
30,Surly Ice Cream Truck Frameset - 2017,70
31,Surly Wednesday - 2017,22
32,Trek Farley Alloy Frameset - 2017,27
33,Surly Wednesday Frameset - 2017,32
34,Trek Session DH 27.5 Carbon Frameset - 2017,32
35,Sun Bicycles Spider 3i - 2017,46
36,Surly Troll Frameset - 2017,69
37,Haro Flightline One ST - 2017,47
38,Haro Flightline Two 26 Plus - 2017,54
39,Trek Stache 5 - 2017,52
40,Trek Fuel EX 9.8 29 - 2017,41
41,Haro Shift R3 - 2017,41
42,Trek Fuel EX 5 27.5 Plus - 2017,25
43,Trek Fuel EX 9.8 27.5 Plus - 2017,30
44,Haro SR 1.1 - 2017,51
45,Haro SR 1.2 - 2017,29
46,Haro SR 1.3 - 2017,53
47,Trek Remedy 9.8 - 2017,35
48,Trek Emonda S 4 - 2017,27
49,Trek Domane SL 6 - 2017,16
50,Trek Silque SLR 7 Women's - 2017,61
51,Trek Silque SLR 8 Women's - 2017,12
52,Surly Steamroller - 2017,49
53,Surly Ogre Frameset - 2017,42
54,Trek Domane SL Disc Frameset - 2017,30
55,Trek Domane S 6 - 2017,21
56,Trek Domane SLR 6 Disc - 2017,54
57,Trek Emonda S 5 - 2017,37
58,Trek Madone 9.2 - 2017,43
59,Trek Domane S 5 Disc - 2017,39
60,Sun Bicycles ElectroLite - 2017,27
61,Trek Powerfly 8 FS Plus - 2017,78
62,Trek Boone 7 - 2017,29
63,Trek Boone Race Shop Limited - 2017,17
64,Electra Townie Original 7D - 2017,82
65,Sun Bicycles Lil Bolt Type-R - 2017,27
66,Sun Bicycles Revolutions 24 - 2017,37
67,Sun Bicycles Revolutions 24 - Girl's - 2017,33
68,Sun Bicycles Cruz 3 - 2017,71
69,Sun Bicycles Cruz 7 - 2017,55
70,Electra Amsterdam Original 3i - 2015/2017,11
71,Sun Bicycles Atlas X-Type - 2017,68
72,Sun Bicycles Biscayne Tandem 7 - 2017,16
73,Sun Bicycles Brickell Tandem 7 - 2017,30
74,Electra Cruiser Lux 1 - 2017,49
75,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,63
76,"""Electra Girl's Hawaii 1 16"""" - 2017""",58
77,Electra Glam Punk 3i Ladies' - 2017,64
78,Sun Bicycles Biscayne Tandem CB - 2017,36
79,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,71
80,Sun Bicycles Brickell Tandem CB - 2017,60
81,Electra Amsterdam Fashion 7i Ladies' - 2017,62
82,Electra Amsterdam Original 3i Ladies' - 2017,12
83,Trek Boy's Kickster - 2015/2017,57
84,Sun Bicycles Lil Kitt'n - 2017,48
85,Haro Downtown 16 - 2017,44
86,Trek Girl's Kickster - 2017,70
87,Trek Precaliber 12 Boys - 2017,57
88,Trek Precaliber 12 Girls - 2017,43
89,Trek Precaliber 16 Boys - 2017,39
90,Trek Precaliber 16 Girls - 2017,39
91,Trek Precaliber 24 (21-Speed) - Girls - 2017,16
92,Haro Shredder 20 - 2017,50
93,Haro Shredder 20 Girls - 2017,62
94,Haro Shredder Pro 20 - 2017,23
95,"""Electra Girl's Hawaii 1 16"""" - 2017""",49
96,Electra Moto 3i (20-inch) - Boy's - 2017,43
97,Electra Savannah 3i (20-inch) - Girl's - 2017,63
98,Electra Straight 8 3i (20-inch) - Boy's - 2017,47
99,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,71
100,Electra Townie 3i EQ (20-inch) - Boys' - 2017,55
101,Electra Townie 7D (20-inch) - Boys' - 2017,38
102,Electra Townie Original 7D - 2017,43
103,Sun Bicycles Streamway 3 - 2017,24
104,Sun Bicycles Streamway - 2017,73
105,Sun Bicycles Streamway 7 - 2017,11
106,Sun Bicycles Cruz 3 - 2017,38
107,Sun Bicycles Cruz 7 - 2017,60
108,Sun Bicycles Cruz 3 - Women's - 2017,67
109,Sun Bicycles Cruz 7 - Women's - 2017,79
110,Sun Bicycles Drifter 7 - 2017,19
111,Sun Bicycles Drifter 7 - Women's - 2017,46
112,Trek 820 - 2018,42
113,Trek Marlin 5 - 2018,54
114,Trek Marlin 6 - 2018,27
115,Trek Fuel EX 8 29 - 2018,54
116,Trek Marlin 7 - 2017/2018,71
117,Trek Ticket S Frame - 2018,56
118,Trek X-Caliber 8 - 2018,46
119,Trek Kids' Neko - 2018,69
120,Trek Fuel EX 7 29 - 2018,64
121,Surly Krampus Frameset - 2018,26
122,Surly Troll Frameset - 2018,41
123,Trek Farley Carbon Frameset - 2018,41
124,Surly Krampus - 2018,38
125,Trek Kids' Dual Sport - 2018,34
126,Surly Big Fat Dummy Frameset - 2018,46
127,Surly Pack Rat Frameset - 2018,28
128,Surly ECR 27.5 - 2018,59
129,Trek X-Caliber 7 - 2018,52
130,Trek Stache Carbon Frameset - 2018,59
131,Heller Bloodhound Trail - 2018,52
132,Trek Procal AL Frameset - 2018,23
133,Trek Procaliber Frameset - 2018,53
134,Trek Remedy 27.5 C Frameset - 2018,56
135,Trek X-Caliber Frameset - 2018,60
136,Trek Procaliber 6 - 2018,24
137,Heller Shagamaw GX1 - 2018,30
138,Trek Fuel EX 5 Plus - 2018,39
139,Trek Remedy 7 27.5 - 2018,62
140,Trek Remedy 9.8 27.5 - 2018,19
141,Trek Stache 5 - 2018,53
142,Trek Fuel EX 8 29 XT - 2018,75
143,Trek Domane ALR 3 - 2018,40
144,Trek Domane ALR 4 Disc - 2018,20
145,Trek Domane ALR 5 Disc - 2018,39
146,Trek Domane SLR 6 - 2018,18
147,Trek Domane ALR 5 Gravel - 2018,24
148,Trek Domane SL 8 Disc - 2018,39
149,Trek Domane SLR 8 Disc - 2018,24
150,Trek Emonda SL 7 - 2018,50
151,Trek Domane ALR 4 Disc Women's - 2018,27
152,Trek Domane SL 5 Disc Women's - 2018,34
153,Trek Domane SL 7 Women's - 2018,53
154,Trek Domane SLR 6 Disc Women's - 2018,44
155,Trek Domane SLR 9 Disc - 2018,54
156,Trek Domane SL Frameset - 2018,35
157,Trek Domane SL Frameset Women's - 2018,65
158,Trek CrossRip 1 - 2018,28
159,Trek Emonda ALR 6 - 2018,54
160,Trek Emonda SLR 6 - 2018,31
161,Surly ECR - 2018,37
162,Trek Emonda SL 6 Disc - 2018,43
163,Surly Pack Rat - 2018,41
164,Surly Straggler 650b - 2018,42
165,Trek 1120 - 2018,41
166,Trek Domane AL 2 Women's - 2018,77
167,Surly ECR Frameset - 2018,37
168,Surly Straggler - 2018,52
169,Trek Emonda SLR 8 - 2018,29
170,Trek CrossRip 2 - 2018,29
171,Trek Domane SL 6 - 2018,42
172,Trek Domane ALR Disc Frameset - 2018,41
173,Trek Domane ALR Frameset - 2018,34
174,Trek Domane SLR Disc Frameset - 2018,35
175,Trek Domane SLR Frameset - 2018,5
176,Trek Madone 9 Frameset - 2018,43
177,Trek Domane SLR 6 Disc - 2018,30
178,Trek Domane AL 2 - 2018,36
179,Trek Domane AL 3 - 2018,52
180,Trek Domane AL 3 Women's - 2018,14
181,Trek Domane SL 5 - 2018,56
182,Trek Domane SL 5 Disc - 2018,77
183,Trek Domane SL 5 Women's - 2018,63
184,Trek Domane SL 6 Disc - 2018,25
185,Trek Conduit+ - 2018,22
186,Trek CrossRip+ - 2018,47
187,Trek Neko+ - 2018,28
188,Trek XM700+ Lowstep - 2018,86
189,Trek Lift+ Lowstep - 2018,39
190,Trek Dual Sport+ - 2018,59
191,Electra Loft Go! 8i - 2018,59
192,Electra Townie Go! 8i - 2017/2018,30
193,Trek Lift+ - 2018,56
194,Trek XM700+ - 2018,59
195,Electra Townie Go! 8i Ladies' - 2018,40
196,Trek Verve+ - 2018,79
197,Trek Verve+ Lowstep - 2018,40
198,Electra Townie Commute Go! - 2018,28
199,Electra Townie Commute Go! Ladies' - 2018,20
200,Trek Powerfly 5 - 2018,67
201,Trek Powerfly 5 FS - 2018,70
202,Trek Powerfly 5 Women's - 2018,17
203,Trek Powerfly 7 FS - 2018,17
204,Trek Super Commuter+ 7 - 2018,64
205,Trek Super Commuter+ 8S - 2018,25
206,Trek Boone 5 Disc - 2018,48
207,Trek Boone 7 Disc - 2018,64
208,Trek Crockett 5 Disc - 2018,37
209,Trek Crockett 7 Disc - 2018,34
210,Surly Straggler - 2018,57
211,Surly Straggler 650b - 2018,20
212,Electra Townie Original 21D - 2018,62
213,Electra Cruiser 1 - 2016/2017/2018,34
214,Electra Tiger Shark 3i - 2018,41
215,Electra Queen of Hearts 3i - 2018,24
216,Electra Super Moto 8i - 2018,35
217,Electra Straight 8 3i - 2018,37
218,Electra Cruiser 7D - 2016/2017/2018,74
219,Electra Moto 3i - 2018,75
220,Electra Cruiser 1 Ladies' - 2018,10
221,Electra Cruiser 7D Ladies' - 2016/2018,44
222,Electra Cruiser 1 Tall - 2016/2018,54
223,Electra Cruiser Lux 3i - 2018,39
224,Electra Cruiser Lux 7D - 2018,43
225,Electra Delivery 3i - 2016/2017/2018,47
226,Electra Townie Original 21D EQ - 2017/2018,37
227,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,53
228,Electra Cruiser 7D Tall - 2016/2018,58
229,Electra Cruiser Lux 1 - 2016/2018,63
230,Electra Cruiser Lux 1 Ladies' - 2018,61
231,Electra Cruiser Lux 3i Ladies' - 2018,39
232,Electra Cruiser Lux 7D Ladies' - 2018,32
233,Electra Cruiser Lux Fat Tire 7D - 2018,39
234,Electra Daydreamer 3i Ladies' - 2018,49
235,Electra Koa 3i Ladies' - 2018,12
236,Electra Morningstar 3i Ladies' - 2018,28
237,Electra Relic 3i - 2018,72
238,Electra Townie Balloon 8D EQ - 2016/2017/2018,38
239,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,74
240,Electra Townie Commute 27D Ladies - 2018,62
241,Electra Townie Commute 8D - 2018,49
242,Electra Townie Commute 8D Ladies' - 2018,17
243,Electra Townie Original 21D EQ Ladies' - 2018,36
244,Electra Townie Original 21D Ladies' - 2018,16
245,Electra Townie Original 3i EQ - 2017/2018,31
246,Electra Townie Original 3i EQ Ladies' - 2018,17
247,Electra Townie Original 7D EQ - 2018,34
