year_value,month_name,unit_sold
2016,January,221
2016,February,223
2016,March,213
2016,April,176
2016,May,224
2016,June,199
2016,July,211
2016,August,251
2016,September,281
2016,October,254
2016,November,181
2016,December,229
2017,January,229
2017,February,263
2017,March,296
2017,April,248
2017,May,241
2017,June,296
2017,July,249
2017,August,287
2017,September,237
2017,October,296
2017,November,241
2017,December,216
2018,January,241
2018,February,160
2018,March,290
2018,April,580
2018,June,1
2018,July,11
2018,August,9
2018,September,4
2018,October,8
2018,November,8
2018,December,4
