city,state,customer_count,total_sales,average_order_value,max_order_value
Mount Vernon,NY,60,105563.3335,1759.38889167,9499.9810
Ballston Spa,NY,52,98619.7500,1896.53365385,11159.9814
San Angelo,TX,53,98429.2647,1857.15593774,10449.9810
Baldwinsville,NY,37,96375.6700,2604.74783784,12089.9814
Howard Beach,NY,36,95328.9863,2648.02739722,21599.9820
Orchard Park,NY,48,90920.4661,1894.17637708,10229.9814
Canyon Country,CA,44,86520.5292,1966.37566364,7599.9810
Monroe,NY,44,84076.3633,1910.82643864,21599.9820
Houston,TX,44,81021.7279,1841.40290682,9499.9810
Astoria,NY,32,79823.8816,2494.49630000,12349.9810
Central Islip,NY,42,77520.7441,1845.73200238,9539.9820
Smithtown,NY,36,77295.5993,2147.09998056,10449.9810
Harlingen,TX,26,76869.8653,2956.53328077,11699.9820
Troy,NY,28,76358.4494,2727.08747857,10069.9810
Amityville,NY,34,75274.9413,2213.96886176,14249.9810
Palos Verdes Peninsula,CA,35,74642.2024,2132.63435429,9857.9814
Port Washington,NY,42,73287.6267,1744.94349286,12089.9814
Ossining,NY,47,71522.3627,1521.75239787,6509.9814
Webster,NY,36,71361.3274,1982.25909444,10449.9810
Merrick,NY,44,71358.9183,1621.79359773,7599.9810
South El Monte,CA,45,69111.5746,1535.81276889,9499.9810
Floral Park,NY,32,67285.5839,2102.67449688,12349.9810
San Jose,CA,29,67201.7469,2317.30161724,7439.9814
Liverpool,NY,34,66812.7928,1965.08214118,12089.9814
Uniondale,NY,36,66207.7522,1839.10422778,8479.9840
Huntington Station,NY,30,65140.4195,2171.34731667,11699.9820
North Tonawanda,NY,34,64510.5482,1897.36906471,9857.9814
Canandaigua,NY,50,64111.9526,1282.23905200,6509.9814
Scarsdale,NY,61,63359.5984,1038.68194098,4639.9840
Duarte,CA,32,62667.3709,1958.35534063,9499.9810
Bay Shore,NY,31,62345.5418,2011.14650968,8999.9820
East Elmhurst,NY,34,61780.9928,1817.08802353,9857.9814
San Lorenzo,CA,35,61122.9495,1746.36998571,7999.9840
Campbell,CA,39,60915.4804,1561.93539487,9899.9820
Garland,TX,30,58830.5963,1961.01987667,7439.9814
Longview,TX,38,58021.8139,1526.88983947,7599.9810
New York,NY,29,56729.1600,1956.17793103,9499.9810
Santa Clara,CA,22,56713.5944,2577.89065455,11699.9820
Franklin Square,NY,39,55917.3355,1433.77783333,5599.9840
Forney,TX,36,55020.8964,1528.35823333,8799.9840
New Rochelle,NY,27,53900.2201,1996.30444815,10229.9814
Ronkonkoma,NY,32,53074.7449,1658.58577813,10449.9810
Spring Valley,NY,32,52980.9216,1655.65380000,11399.9810
Sunnyside,NY,37,52480.6820,1418.39681081,5509.9810
Garden City,NY,23,52177.6604,2268.59393043,9299.9814
Hempstead,NY,24,52085.7202,2170.23834167,9299.9814
Upland,CA,33,52041.2966,1577.00898788,8999.9820
Bellmore,NY,30,52009.9902,1733.66634000,7439.9814
Fairport,NY,23,51465.7967,2237.64333478,9299.9814
Baldwin,NY,33,51380.9043,1556.99710000,9299.9814
East Northport,NY,31,51318.1786,1655.42511613,10069.9810
Jamaica,NY,35,50709.5350,1448.84385714,5699.9905
Encino,CA,31,50559.5972,1630.95474839,7199.9820
Newburgh,NY,31,50514.8816,1629.51230968,10069.9810
Utica,NY,27,50164.6943,1857.95164074,11159.9907
Sacramento,CA,28,49637.0182,1772.75065000,7439.9814
Euless,TX,38,49363.4993,1299.03945526,5599.9840
Maspeth,NY,28,49182.5926,1756.52116429,6399.9840
Plainview,NY,26,49052.3317,1886.62814231,7124.9905
Glendora,CA,32,48845.1146,1526.40983125,9499.9810
Corpus Christi,TX,30,48776.5359,1625.88453000,12089.9814
San Carlos,CA,28,48683.7177,1738.70420357,12089.9814
Long Beach,NY,31,47729.6240,1539.66529032,7599.9810
Redondo Beach,CA,26,47346.6286,1821.02417692,11159.9814
Richmond Hill,NY,41,47269.7519,1152.92077805,6399.9840
Port Jefferson Station,NY,27,47167.5245,1746.94535185,8999.9820
Monsey,NY,30,46824.3415,1560.81138333,8999.9820
Lancaster,NY,27,46704.7835,1729.80679630,6649.9810
Coachella,CA,20,46563.1497,2328.15748500,8479.9840
Sugar Land,TX,28,46485.3003,1660.18929643,10799.9820
Desoto,TX,37,46289.4124,1251.06520000,6509.9814
Oxnard,CA,34,45986.4973,1352.54403824,5599.9840
Ithaca,NY,21,45974.6143,2189.26734762,9299.9814
Patchogue,NY,21,45832.3332,2182.49205714,11159.9814
Elmhurst,NY,32,45100.8817,1409.40255313,7439.9814
Whitestone,NY,23,44999.5949,1956.50412609,10069.9810
New Windsor,NY,26,44962.7267,1729.33564231,9499.9810
Anaheim,CA,35,44855.2655,1281.57901429,5951.9814
Apple Valley,CA,29,44822.8446,1545.61533103,10449.9810
South Ozone Park,NY,33,44750.9841,1356.09042727,5129.9810
Brentwood,NY,28,44650.8738,1594.67406429,9499.9810
Torrance,CA,30,43994.9353,1466.49784333,7439.9814
Wappingers Falls,NY,25,43954.8416,1758.19366400,11159.9814
Kingston,NY,33,42494.5066,1287.71232121,3999.9920
Banning,CA,32,42124.6180,1316.39431250,7439.9814
Buffalo,NY,33,42116.6191,1276.26118485,11399.9810
El Paso,TX,24,41810.4042,1742.10017500,7999.9840
Rome,NY,28,40798.3027,1457.08223929,4749.9905
Woodside,NY,30,40403.5273,1346.78424333,5699.9810
Woodhaven,NY,24,40201.6194,1675.06747500,7199.9820
Plattsburgh,NY,21,39860.8854,1898.13740000,8999.9820
Jackson Heights,NY,26,39536.5843,1520.63785769,8999.9820
Victoria,TX,23,39063.4205,1698.40958696,6509.9814
Massapequa,NY,25,38656.3110,1546.25244000,6079.9810
Brooklyn,NY,26,38585.5305,1484.05886538,9499.9810
Oswego,NY,26,38172.5937,1468.17668077,4639.9840
Rowlett,TX,24,38063.5154,1585.97980833,7599.9810
San Pablo,CA,28,37690.5077,1346.08956071,5699.9810
Massapequa Park,NY,22,37283.7315,1694.71506818,5399.9820
Vista,CA,21,36717.0860,1748.43266667,9299.9814
Saratoga Springs,NY,22,35983.3004,1635.60456364,11399.9810
Oakland,CA,24,35442.0949,1476.75395417,6695.9814
West Islip,NY,19,35394.7928,1862.88383158,5849.9910
Nanuet,NY,10,35307.2505,3530.72505000,8999.9820
Ridgecrest,CA,23,34885.4507,1516.75872609,4949.9910
Mahopac,NY,24,34604.3676,1441.84865000,4649.9907
Fullerton,CA,18,34348.7231,1908.26239444,9499.9810
Schenectady,NY,20,34153.8544,1707.69272000,6509.9814
Staten Island,NY,22,33969.1090,1544.05040909,7599.9810
Depew,NY,20,33961.7808,1698.08904000,8999.9820
Pittsford,NY,25,33698.1894,1347.92757600,7439.9814
Pleasanton,CA,24,33638.9088,1401.62120000,4859.9820
Niagara Falls,NY,19,33629.9385,1769.99676316,12349.9810
Lawndale,CA,30,33467.7151,1115.59050333,7199.9820
Richardson,TX,18,33436.8197,1857.60109444,8999.9820
Lockport,NY,13,33197.7279,2553.67137692,12089.9814
Bethpage,NY,20,32558.8767,1627.94383500,6399.9840
Hollis,NY,23,32524.5707,1414.11176957,5951.9814
Santa Monica,CA,21,30844.8750,1468.80357143,5399.9820
Rockville Centre,NY,24,30320.4104,1263.35043333,4949.9910
Oakland Gardens,NY,13,29321.6540,2255.51184615,10229.9814
Bayside,NY,20,29026.5056,1451.32528000,4799.9840
New Hyde Park,NY,18,28774.1990,1598.56661111,5699.9810
San Diego,CA,19,28511.1191,1500.58521579,5849.9910
Port Chester,NY,16,28483.0511,1780.19069375,9499.9810
Bronx,NY,21,28021.3143,1334.34830000,9539.9820
Oceanside,NY,11,27610.4973,2510.04520909,9599.9840
Lindenhurst,NY,28,27274.3660,974.08450000,5599.9840
Lake Jackson,TX,12,27273.3717,2272.78097500,9299.9814
Santa Cruz,CA,17,27181.9130,1598.93605882,3999.9920
Carmel,NY,26,26827.4439,1031.82476538,7439.9814
