customer_id,purchase_frequency,purchase_recency,buying_power
1,repeat buyer,recent buyer,big spender
2,repeat buyer,recent buyer,average spender
3,repeat buyer,recent buyer,big spender
4,repeat buyer,recent buyer,average spender
5,repeat buyer,recent buyer,average spender
6,repeat buyer,recent buyer,big spender
7,repeat buyer,recent buyer,low spender
8,repeat buyer,recent buyer,low spender
9,repeat buyer,recent buyer,big spender
10,repeat buyer,recent buyer,big spender
11,repeat buyer,recent buyer,low spender
12,repeat buyer,recent buyer,big spender
13,repeat buyer,recent buyer,average spender
14,repeat buyer,recent buyer,average spender
15,repeat buyer,recent buyer,low spender
16,repeat buyer,recent buyer,big spender
17,repeat buyer,recent buyer,low spender
18,repeat buyer,recent buyer,average spender
19,repeat buyer,recent buyer,average spender
20,repeat buyer,recent buyer,average spender
21,repeat buyer,recent buyer,average spender
22,repeat buyer,recent buyer,average spender
23,repeat buyer,recent buyer,low spender
24,repeat buyer,recent buyer,average spender
25,repeat buyer,recent buyer,average spender
26,repeat buyer,recent buyer,low spender
27,repeat buyer,recent buyer,average spender
28,repeat buyer,recent buyer,average spender
29,repeat buyer,recent buyer,average spender
30,repeat buyer,recent buyer,low spender
31,repeat buyer,recent buyer,average spender
32,repeat buyer,recent buyer,average spender
33,repeat buyer,recent buyer,average spender
34,repeat buyer,recent buyer,average spender
35,repeat buyer,recent buyer,average spender
36,repeat buyer,recent buyer,low spender
37,repeat buyer,recent buyer,average spender
38,repeat buyer,recent buyer,average spender
39,repeat buyer,recent buyer,average spender
40,repeat buyer,recent buyer,average spender
41,repeat buyer,recent buyer,low spender
42,repeat buyer,recent buyer,low spender
43,repeat buyer,recent buyer,big spender
44,repeat buyer,recent buyer,low spender
45,repeat buyer,recent buyer,low spender
46,repeat buyer,recent buyer,low spender
47,repeat buyer,recent buyer,average spender
48,repeat buyer,recent buyer,average spender
49,repeat buyer,recent buyer,low spender
50,repeat buyer,recent buyer,average spender
51,repeat buyer,recent buyer,low spender
52,repeat buyer,recent buyer,low spender
53,repeat buyer,recent buyer,average spender
54,repeat buyer,recent buyer,average spender
55,repeat buyer,recent buyer,low spender
56,repeat buyer,recent buyer,low spender
57,repeat buyer,recent buyer,low spender
58,repeat buyer,recent buyer,average spender
59,repeat buyer,recent buyer,average spender
60,repeat buyer,recent buyer,low spender
61,repeat buyer,recent buyer,big spender
62,repeat buyer,recent buyer,low spender
63,repeat buyer,recent buyer,average spender
64,repeat buyer,recent buyer,low spender
65,repeat buyer,recent buyer,average spender
66,repeat buyer,recent buyer,big spender
67,repeat buyer,recent buyer,low spender
68,repeat buyer,recent buyer,average spender
69,repeat buyer,recent buyer,low spender
70,repeat buyer,recent buyer,average spender
71,repeat buyer,recent buyer,low spender
72,repeat buyer,recent buyer,average spender
73,repeat buyer,recent buyer,big spender
74,repeat buyer,recent buyer,low spender
75,repeat buyer,recent buyer,big spender
76,repeat buyer,recent buyer,low spender
77,repeat buyer,recent buyer,low spender
78,repeat buyer,recent buyer,low spender
79,repeat buyer,recent buyer,average spender
80,repeat buyer,recent buyer,low spender
81,repeat buyer,recent buyer,low spender
82,repeat buyer,recent buyer,average spender
83,repeat buyer,recent buyer,low spender
84,repeat buyer,recent buyer,low spender
85,repeat buyer,recent buyer,big spender
86,repeat buyer,recent buyer,average spender
87,repeat buyer,recent buyer,average spender
88,repeat buyer,recent buyer,low spender
89,repeat buyer,recent buyer,average spender
90,repeat buyer,recent buyer,low spender
91,repeat buyer,recent buyer,average spender
92,repeat buyer,recent buyer,low spender
93,repeat buyer,recent buyer,big spender
94,repeat buyer,recent buyer,big spender
95,one-time buyer,not recent buyer,average spender
96,one-time buyer,not recent buyer,low spender
97,repeat buyer,recent buyer,low spender
98,one-time buyer,not recent buyer,low spender
99,one-time buyer,not recent buyer,low spender
100,one-time buyer,recent buyer,low spender
101,one-time buyer,not recent buyer,low spender
102,one-time buyer,not recent buyer,low spender
103,one-time buyer,not recent buyer,low spender
104,repeat buyer,recent buyer,average spender
105,one-time buyer,not recent buyer,average spender
106,one-time buyer,not recent buyer,low spender
107,one-time buyer,not recent buyer,low spender
108,one-time buyer,not recent buyer,average spender
109,repeat buyer,recent buyer,average spender
110,repeat buyer,recent buyer,low spender
