year,month,unit_sold,total_sales
2016,January,221,215146.4241
2016,February,223,156112.3228
2016,March,213,180600.3285
2016,April,176,167144.0512
2016,May,224,205270.0091
2016,June,199,210562.1245
2016,July,211,199556.8089
2016,August,251,225657.3767
2016,September,281,273091.6097
2016,October,254,212078.0805
2016,November,181,182329.4124
2016,December,229,199829.9792
2017,January,229,285616.4840
2017,February,263,312923.7470
2017,March,296,308911.9018
2017,April,248,227290.9131
2017,May,241,268233.2379
2017,June,296,378865.6535
2017,July,249,229995.3979
2017,August,287,290553.4554
2017,September,237,293405.2561
2017,October,296,310328.3090
2017,November,241,281577.9019
2017,December,216,259505.9849
2018,January,241,381430.0993
2018,February,160,200658.0615
2018,March,290,363990.9935
2018,April,580,817921.8604
2018,June,1,188.9910
2018,July,11,11337.9002
2018,August,9,8377.8147
2018,September,4,8963.9647
2018,October,8,3781.1284
2018,November,8,11362.0071
2018,December,4,6516.9667
