month,year,sales_amount,prev_sales_amount,sales_growth_percent
1,2016,215146.4241,,
2,2016,156112.3228,215146.4241,-27.4390343911
3,2016,180600.3285,156112.3228,15.6861452452
4,2016,167144.0512,180600.3285,-7.4508598139
5,2016,205270.0091,167144.0512,22.8102392076
6,2016,210562.1245,205270.0091,2.5781240149
7,2016,199556.8089,210562.1245,-5.2266359043
8,2016,225657.3767,199556.8089,13.0792669736
9,2016,273091.6097,225657.3767,21.0204663786
10,2016,212078.0805,273091.6097,-22.3417809383
11,2016,182329.4124,212078.0805,-14.0272243269
12,2016,199829.9792,182329.4124,9.5983234793
