product_id,product_name,brand_id,unit_sold,list_price,discount,discounted_price,total_sales_per_product
7,Trek Slash 8 27.5 - 2016,9,35,3999.99,0.10,3599.9910,555558.6111
7,Trek Slash 8 27.5 - 2016,9,44,3999.99,0.05,3799.9905,555558.6111
7,Trek Slash 8 27.5 - 2016,9,32,3999.99,0.20,3199.9920,555558.6111
7,Trek Slash 8 27.5 - 2016,9,43,3999.99,0.07,3719.9907,555558.6111
9,Trek Conduit+ - 2016,9,30,2999.99,0.07,2789.9907,389248.7025
9,Trek Conduit+ - 2016,9,43,2999.99,0.10,2699.9910,389248.7025
9,Trek Conduit+ - 2016,9,35,2999.99,0.20,2399.9920,389248.7025
9,Trek Conduit+ - 2016,9,37,2999.99,0.05,2849.9905,389248.7025
4,Trek Fuel EX 8 29 - 2016,9,45,2899.99,0.20,2319.9920,368472.7294
4,Trek Fuel EX 8 29 - 2016,9,26,2899.99,0.10,2609.9910,368472.7294
4,Trek Fuel EX 8 29 - 2016,9,35,2899.99,0.05,2754.9905,368472.7294
4,Trek Fuel EX 8 29 - 2016,9,37,2899.99,0.07,2696.9907,368472.7294
11,Surly Straggler 650b - 2016,8,27,1680.99,0.05,1596.9405,226765.5510
11,Surly Straggler 650b - 2016,8,42,1680.99,0.10,1512.8910,226765.5510
11,Surly Straggler 650b - 2016,8,37,1680.99,0.20,1344.7920,226765.5510
